unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,verdict_ok_or_fix,notes
unit-02-food-and-drink,coffee,noun,buna,qaawwa | jalasoqa | aboolii | baaloo,/ˈbʊnɐ/,yes,medium,coffee,,
unit-02-food-and-drink,tea,noun,baalashaay,baaloo | makirajii | makrajii | masalee,/ˈbɑːlɐʃɑːj/,yes,low,tea leaf,,
unit-02-food-and-drink,bread,noun,abshiloo,amashoommoo | bixxibixxii | bixxiluu | caabitaa,/ɐbʃɪlóː/,yes,low,tick bread used to make local beer,,
unit-02-food-and-drink,meat,noun,foon,addamaree | baktii | bocola | busuqqee,/ˈfoːn/,yes,high,meat,,
unit-02-food-and-drink,egg,noun,buphaa,hangaaquu | hanqaaquu | cinii | anqaaquu,/ˈbʊpʼɑ́ː/,yes,medium,egg,,
unit-02-food-and-drink,salt,noun,ashaboo,soogidda | amoolee | bassoo | basseessuu,/ɐʃɐbóː/,no,medium,salt,,
unit-02-food-and-drink,sugar,noun,shukkaaraa,sukkaara | abraasaa | hagadaa | hoomisha shukkaaraa,,no,medium,sugar,,
unit-02-food-and-drink,butter,noun,dhadhaa,dhalee | addaannoo | addaanuu | addanoo,/ˈᶑɐᶑɑ́ː/,yes,medium,butter,,
unit-02-food-and-drink,honey,noun,damma,arraabsisa | daamuu | fasasee | jiisaa,/ˈdɐmːɐ/,yes,high,honey,,
unit-02-food-and-drink,food,noun,sorrata,nyaata | lillaata | soorata | aboorada,/ˈsɔrːɐtɐ/,no,medium,food (of animals),,
unit-02-food-and-drink,fruit,noun,fuduraa,ijoo | arraddoo | ashooka | baddeessa,/ˈfʊdʊrɑ́ː/,yes,high,fruit,,
unit-02-food-and-drink,banana,noun,muuzii,hoofichoo | huuxoo | ofichoo | oofichoo,,no,high,banana,,
unit-02-food-and-drink,orange,noun,birtukaanii,burtukaana | boora,/ˈbɪrtʊkɑːníː/,yes,medium,orange (fruit),,
unit-02-food-and-drink,onion,noun,alaangallee,shunkurtaa | qullubbii diimaa,/ɐlɑːnɡɐlːéː/,yes,low,kind of onion,,
unit-02-food-and-drink,potato,noun,dinnicha,ifaatee | mosee | shoonee | shonee,/ˈdɪnːɪt͡ʃɐ/,yes,medium,potato (Coleus edulis),,
unit-02-food-and-drink,maize,noun,boqqolloo,ansaaroo | algee | jalaharaa | oromee,/ˈbɔkʼːɔlːóː/,yes,high,"corn, maize",,
unit-02-food-and-drink,barley,noun,garbuu,bassoo | buttujjii | samareeta | toloola,,no,high,barley,,
unit-02-food-and-drink,porridge,noun,shuuroo,awandaroo | solloqii | jaaloo | askutii,/ˈʃuːróː/,no,high,porridge,,
unit-02-food-and-drink,cup,noun,kokii,kubbaayyaa | sinii | xoofoo | abooree,/ˈkɔkíː/,no,medium,cup,,
unit-02-food-and-drink,plate,noun,caabii,asaafaa | shaanii | arkee | quuraa,/ˈt͡ʃʼɑːbíː/,yes,medium,plate,,
unit-02-food-and-drink,spoon,noun,fallaana,fal'aana | keenxoo,/ˈfɐlːɑːnɐ/,yes,medium,spoon,,
unit-02-food-and-drink,eat,verb,nyaachuu,raamuu | nyaatamaa | anfiriiruu | cafaquu,,no,medium,to eat,,
unit-02-food-and-drink,drink,verb,dhuguu,dhugaatii | dhugdoo | obaafachuu | obaasisuu,/ˈᶑʊɡúː/,yes,high,to drink,,
unit-03-animals,dog,noun,buchillaa,foroca | forocuu | duchiifamuu,/ˈbʊt͡ʃɪlːɑ́ː/,yes,low,pup or puppy i.e. young dog,,
unit-03-animals,cat,noun,adurree,bashoo | leessuu | agala | deeroo,/ɐdʊrːéː/,yes,medium,cat,,
unit-03-animals,cow,noun,saawwa,sawwa | ameessa | dhaltii | elmaa,,no,medium,cow,,
unit-03-animals,ox,noun,sangaa,qotiyyoo | haraashi | carii | dilbeetumma,/sɐnɡɑː/,no,medium,ox,,
unit-03-animals,goat,noun,re'ee,goorana | kal'ee | hobobsa | karrooyyee,,no,medium,goat,,
unit-03-animals,sheep,noun,bidoo,hoolee | hoolaa | busaayee | addamaree,/ˈbɪdóː/,yes,medium,sheep,,
unit-03-animals,horse,noun,farda,lammacha | beennacha | cidhoo | bulloo,/ˈfɐ́rdɐ/,yes,high,horse,,
unit-03-animals,donkey,noun,waaluu,harree | lammacha | bukurattii | bukurii,/ˈwɑːlúː/,no,medium,donkey (male),,
unit-03-animals,camel,noun,gaala,gurboo | orgee,/ˈɡɑ́ːlɐ/,yes,high,camel,,
unit-03-animals,chicken,noun,handaaqqoo,hindaaqqoo | indaanqoo | cuucii | handaaqqoo sookiyyoo,/ˈhɐndɑːkʼːóː/,no,medium,hen/chicken/cock,,
unit-03-animals,bird,noun,allaattii,simbirroo | shimbiro | simbira | abarjulaa,/ɐlːɑːtːíː/,yes,medium,bird,,
unit-03-animals,fish,noun,kalluuna,qurxummii | kiilobuu | waantoo | giilii,/ˈkɐlːuːnɐ/,no,medium,fish,,
unit-03-animals,lion,noun,leenca,anfarroo | kublee | kulbee | saafela,/ˈleːnt͡ʃʼɐ/,no,high,lion,,
unit-03-animals,elephant,noun,arba,humbaawoo | roodisa | huumbii | kunbii,/ɐrbɐ/,yes,high,elephant,,
unit-03-animals,monkey,noun,anfarroo,buukumsa | jaldeessa-kootama | qurii | weennii,/ɐnfɐrːóː/,yes,low,mane of lion or monkey,,
unit-03-animals,snake,noun,bofa,darabii | magarsuu | magariisuu | mar'ataa,/ˈbɔ́fɐ/,yes,high,snake,,
unit-03-animals,mouse,noun,hantuuttee,fuliyoo | abbaa simboo | focii,/ˈhɐntuːtːéː/,no,medium,muscle,,
unit-03-animals,hyena,noun,waraabeessa,qaxxaamuraa | harrittaa | yuusisuu | yuusaa,/ˈwɐrɑːbeːsːɐ/,no,medium,hyena,,
unit-03-animals,leopard,noun,qeeransa,adokol | harqa | carquu | cirriqquu,/ˈkʼeːrɐnsɐ/,no,high,leopard,,
unit-03-animals,buffalo,noun,yadii,gafarsa | gafaarsa | gurraalee | amartoo,/ˈjɐdíː/,no,medium,buffalo(fem),,
unit-03-animals,bee,noun,kannisa,kaanniissa | gaagura' | jiisaa | sonii,/ˈkɐnːɪsɐ/,no,medium,bee,,
unit-03-animals,fly,noun,tisiisa,barrisuu | balali'uu | ooffuu | qarcaasaa,,no,medium,fly (insect),,
unit-03-animals,hen,noun,lukkuu,handaaqqoo | hindaaqqoo | indaanqoo | haadha lukkuu,,no,medium,hen,,
unit-03-animals,calf,noun,sarbaa,jaabi | dhalattuu | jabbii | waatii,/ˈsɐrbɑ́ː/,no,medium,calf,,
unit-03-animals,animal,noun,neefkaa,cibra | uusoo | caxoo | afuuffee,/ˈneːfkɑ́ː/,no,medium,animal,,
